index,1-5-8_v,1-5-7_v,1-5-6_v,1-5-5_v,1-5-9_v,1-5-0_v,1-5-4_v,1-5-3_v,1-5-2_v,1-5-1_v,1-5-12_v,1-5-13_v,1-5-10_v,csvTime,1-5-11_v
0,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6970,6974,0.0,0.0,6010,2024-05-17 00:00:09,7
1,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6969,6973,0.0,0.0,6010,2024-05-17 00:01:10,9
2,0.0,0.0,0.0,0.0,100.0,6978,0.0,0.0,6971,6975,0.0,0.0,6009,2024-05-17 00:02:10,10
3,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6970,6974,0.0,0.0,6010,2024-05-17 00:03:10,11
4,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6970,6973,0.0,0.0,6009,2024-05-17 00:04:11,5
5,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6969,6973,0.0,0.0,6009,2024-05-17 00:05:11,3
6,0.0,0.0,0.0,0.0,100.0,6975,0.0,0.0,6967,6971,0.0,0.0,6009,2024-05-17 00:06:12,4
7,0.0,0.0,0.0,0.0,100.0,6978,0.0,0.0,6969,6974,0.0,0.0,6007,2024-05-17 00:07:12,12
8,0.0,0.0,0.0,0.0,100.0,6975,0.0,0.0,6969,6972,0.0,0.0,6009,2024-05-17 00:08:12,0
9,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6970,6973,0.0,0.0,6007,2024-05-17 00:09:12,9
10,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6968,6972,0.0,0.0,6008,2024-05-17 00:10:12,0
11,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6968,6972,0.0,0.0,6008,2024-05-17 00:11:13,10
12,0.0,0.0,0.0,0.0,100.0,6974,0.0,0.0,6967,6970,0.0,0.0,6008,2024-05-17 00:12:13,5
13,0.0,0.0,0.0,0.0,100.0,6975,0.0,0.0,6967,6971,0.0,0.0,6007,2024-05-17 00:13:14,0
14,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6968,6972,0.0,0.0,6007,2024-05-17 00:14:14,9
15,0.0,0.0,0.0,0.0,100.0,6975,0.0,0.0,6968,6972,0.0,0.0,6008,2024-05-17 00:15:14,0
16,0.0,0.0,0.0,0.0,100.0,6973,0.0,0.0,6968,6971,0.0,0.0,6008,2024-05-17 00:16:14,5
17,0.0,0.0,0.0,0.0,100.0,6974,0.0,0.0,6968,6971,0.0,0.0,6008,2024-05-17 00:17:15,3
18,0.0,0.0,0.0,0.0,100.0,6974,0.0,0.0,6967,6970,0.0,0.0,6008,2024-05-17 00:18:15,8
19,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6969,6972,0.0,0.0,6007,2024-05-17 00:19:15,11
20,0.0,0.0,0.0,0.0,100.0,6975,0.0,0.0,6968,6972,0.0,0.0,6006,2024-05-17 00:20:15,6
21,0.0,0.0,0.0,0.0,100.0,6975,0.0,0.0,6968,6971,0.0,0.0,6006,2024-05-17 00:21:15,10
22,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6969,6972,0.0,0.0,6006,2024-05-17 00:22:15,2
23,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6970,6973,0.0,0.0,6006,2024-05-17 00:23:16,10
24,0.0,0.0,0.0,0.0,100.0,6975,0.0,0.0,6968,6972,0.0,0.0,6006,2024-05-17 00:24:16,8
25,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6970,6973,0.0,0.0,6005,2024-05-17 00:25:16,2
26,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6971,6973,0.0,0.0,6007,2024-05-17 00:26:16,0
27,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6970,6974,0.0,0.0,6005,2024-05-17 00:27:16,10
28,0.0,0.0,0.0,0.0,100.0,6974,0.0,0.0,6968,6971,0.0,0.0,6007,2024-05-17 00:28:17,3
29,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6971,6974,0.0,0.0,6006,2024-05-17 00:29:17,0
30,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6970,6973,0.0,0.0,6008,2024-05-17 00:30:17,8
31,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6970,6974,0.0,0.0,6010,2024-05-17 00:31:18,2
32,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6971,6974,0.0,0.0,6009,2024-05-17 00:32:18,3
33,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6970,6973,0.0,0.0,6011,2024-05-17 00:33:18,0
34,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6971,6974,0.0,0.0,6009,2024-05-17 00:34:18,2
35,0.0,0.0,0.0,0.0,100.0,6976,0.0,0.0,6969,6972,0.0,0.0,6012,2024-05-17 00:35:18,10
36,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6970,6974,0.0,0.0,6011,2024-05-17 00:36:18,10
37,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6971,6974,0.0,0.0,6010,2024-05-17 00:37:18,0
38,0.0,0.0,0.0,0.0,100.0,6977,0.0,0.0,6970,6974,0.0,0.0,6010,2024-05-17 00:38:18,6
