index,1-3-12_v,1-3-9_v,1-3-13_v,1-3-8_v,1-3-10_v,1-3-7_v,1-3-11_v,1-3-6_v,1-3-5_v,1-3-4_v,1-3-3_v,1-3-2_v,1-3-1_v,1-3-0_v,csvTime
0,1729,95.0,0.0,9.0,6009,2.0,5,8,6,8.0,9.0,6964,6970,6976,2024-05-17 00:00:41
1,1740,95.0,0.0,9.0,6010,2.0,14,8,6,8.0,9.0,6964,6971,6977,2024-05-17 00:01:42
2,457,95.0,0.0,10.0,6008,2.0,11,9,9,9.0,10.0,6966,6972,6979,2024-05-17 00:02:42
3,1638,95.0,0.0,9.0,6010,2.0,8,8,6,8.0,9.0,6966,6972,6976,2024-05-17 00:03:42
4,1720,95.0,0.0,9.0,6009,2.0,7,8,6,8.0,9.0,6963,6968,6973,2024-05-17 00:04:43
5,13,95.0,0.0,10.0,6008,3.0,5,10,9,10.0,10.0,6964,6969,6975,2024-05-17 00:05:43
6,1715,95.0,0.0,9.0,6010,2.0,13,8,6,8.0,9.0,6962,6968,6974,2024-05-17 00:06:44
7,681,96.0,0.0,10.0,6007,3.0,7,9,9,9.0,10.0,6964,6970,6977,2024-05-17 00:07:44
8,1753,95.0,0.0,9.0,6009,2.0,5,8,6,8.0,9.0,6964,6970,6976,2024-05-17 00:08:44
9,688,96.0,0.0,12.0,6007,3.0,13,12,12,12.0,12.0,6966,6972,6977,2024-05-17 00:09:44
10,734,95.0,0.0,10.0,6007,2.0,14,9,8,9.0,9.0,6964,6970,6976,2024-05-17 00:10:44
11,1771,95.0,0.0,9.0,6007,2.0,14,8,6,8.0,9.0,6962,6968,6974,2024-05-17 00:11:45
12,788,95.0,0.0,9.0,6007,2.0,6,8,8,9.0,9.0,6964,6970,6976,2024-05-17 00:12:45
13,1690,95.0,0.0,9.0,6008,2.0,15,8,6,8.0,9.0,6963,6969,6976,2024-05-17 00:13:46
14,1342,95.0,0.0,9.0,6007,2.0,6,9,7,9.0,9.0,6963,6969,6974,2024-05-17 00:14:46
15,1690,95.0,0.0,9.0,6007,2.0,10,8,6,8.0,9.0,6964,6969,6975,2024-05-17 00:15:46
16,576,96.0,0.0,11.0,6007,3.0,3,11,11,12.0,12.0,6964,6969,6974,2024-05-17 00:16:46
17,1360,95.0,0.0,9.0,6007,2.0,2,9,7,8.0,9.0,6964,6969,6974,2024-05-17 00:17:47
18,1621,95.0,0.0,9.0,6007,2.0,10,8,6,8.0,9.0,6965,6970,6975,2024-05-17 00:18:47
19,1756,95.0,0.0,9.0,6007,2.0,7,8,6,8.0,9.0,6965,6970,6976,2024-05-17 00:19:47
20,1579,95.0,0.0,9.0,6005,2.0,12,8,7,8.0,9.0,6964,6970,6976,2024-05-17 00:20:47
21,1732,95.0,0.0,9.0,6005,2.0,3,8,6,8.0,9.0,6965,6971,6976,2024-05-17 00:21:47
22,1690,95.0,0.0,9.0,6005,2.0,11,8,6,8.0,9.0,6965,6970,6975,2024-05-17 00:22:48
