index,1-2-1_v,1-2-0_v,1-2-3_v,1-2-2_v,1-2-5_v,1-2-4_v,1-2-13_v,1-2-7_v,1-2-6_v,1-2-9_v,1-2-8_v,1-2-10_v,1-2-12_v,1-2-11_v,csvTime
0,6975,6978,11.0,6973,8,9.0,0.0,2.0,10.0,96.0,11.0,6010,1807,8,2024-05-17 00:00:58
1,6974,6977,11.0,6972,8,10.0,0.0,2.0,10.0,96.0,11.0,6011,1621,3,2024-05-17 00:01:59
2,6975,6977,10.0,6973,6,9.0,0.0,2.0,10.0,96.0,10.0,6009,2674,0,2024-05-17 00:02:59
3,6974,6976,12.0,6971,9,11.0,0.0,2.0,11.0,96.0,11.0,6010,2019,6,2024-05-17 00:04:00
4,6974,6976,11.0,6972,9,10.0,0.0,3.0,10.0,96.0,11.0,6008,1174,8,2024-05-17 00:05:00
5,6976,6978,11.0,6974,8,10.0,0.0,2.0,10.0,96.0,11.0,6008,1883,0,2024-05-17 00:06:01
6,6975,6977,10.0,6973,7,9.0,0.0,2.0,10.0,96.0,10.0,6007,2000,7,2024-05-17 00:07:01
7,6973,6975,10.0,6971,6,9.0,0.0,2.0,9.0,96.0,10.0,6011,2671,0,2024-05-17 00:08:01
8,6974,6977,10.0,6973,6,9.0,0.0,2.0,9.0,96.0,10.0,6009,2632,3,2024-05-17 00:09:01
9,6974,6976,11.0,6972,8,10.0,0.0,3.0,10.0,96.0,10.0,6007,1765,7,2024-05-17 00:10:01
10,6975,6976,10.0,6973,6,9.0,0.0,2.0,9.0,96.0,10.0,6007,2581,0,2024-05-17 00:11:01
11,6974,6977,11.0,6972,8,10.0,0.0,2.0,10.0,96.0,10.0,6007,1927,5,2024-05-17 00:12:02
12,6973,6976,10.0,6971,7,9.0,0.0,2.0,10.0,96.0,11.0,6007,1846,8,2024-05-17 00:13:02
13,6975,6977,10.0,6973,7,9.0,0.0,2.0,10.0,96.0,10.0,6010,2251,2,2024-05-17 00:14:03
14,6976,6978,10.0,6974,6,9.0,0.0,2.0,9.0,96.0,10.0,6008,2672,2,2024-05-17 00:15:03
15,6974,6977,11.0,6972,8,10.0,0.0,2.0,10.0,96.0,11.0,6008,1745,5,2024-05-17 00:16:03
16,6975,6977,10.0,6973,7,9.0,0.0,2.0,10.0,96.0,10.0,6008,1868,3,2024-05-17 00:17:03
17,6974,6976,9.0,6972,6,8.0,0.0,2.0,8.0,95.0,9.0,6007,2565,5,2024-05-17 00:18:04
18,6974,6976,10.0,6972,6,9.0,0.0,2.0,9.0,96.0,10.0,6007,2640,7,2024-05-17 00:19:04
19,6973,6974,10.0,6972,6,9.0,0.0,2.0,9.0,96.0,10.0,6006,2699,0,2024-05-17 00:20:04
20,6974,6976,10.0,6972,6,9.0,0.0,2.0,9.0,96.0,10.0,6005,2645,6,2024-05-17 00:21:04
21,6974,6976,10.0,6973,7,9.0,0.0,2.0,10.0,96.0,10.0,6005,1731,0,2024-05-17 00:22:04
22,6974,6976,10.0,6973,7,9.0,0.0,2.0,9.0,96.0,10.0,6007,1461,0,2024-05-17 00:23:05
23,6973,6975,10.0,6972,6,9.0,0.0,2.0,9.0,96.0,10.0,6006,2669,3,2024-05-17 00:24:05
24,6975,6976,10.0,6973,6,9.0,0.0,2.0,9.0,96.0,10.0,6006,2672,0,2024-05-17 00:25:05
25,6973,6975,10.0,6972,6,9.0,0.0,2.0,9.0,96.0,10.0,6006,2700,4,2024-05-17 00:26:05
26,6974,6977,10.0,6972,6,9.0,0.0,2.0,9.0,96.0,10.0,6006,2640,8,2024-05-17 00:27:05
27,6973,6975,10.0,6971,6,9.0,0.0,2.0,9.0,96.0,10.0,6006,2777,8,2024-05-17 00:28:06
28,6974,6976,11.0,6973,8,10.0,0.0,3.0,11.0,96.0,12.0,6005,1551,4,2024-05-17 00:29:06
29,6973,6975,10.0,6972,6,9.0,0.0,2.0,9.0,96.0,10.0,6006,2735,0,2024-05-17 00:30:06
30,6976,6977,10.0,6975,6,9.0,0.0,2.0,9.0,96.0,10.0,6008,2696,2,2024-05-17 00:31:06
31,6975,6977,10.0,6974,6,9.0,0.0,2.0,9.0,96.0,10.0,6011,2721,4,2024-05-17 00:32:06
32,6976,6978,10.0,6974,6,9.0,0.0,2.0,9.0,96.0,10.0,6011,2683,7,2024-05-17 00:33:07
33,6979,6981,10.0,6978,6,9.0,0.0,2.0,9.0,96.0,10.0,6010,2703,6,2024-05-17 00:34:07
34,6977,6978,0.0,6976,0,0.0,0.0,1.0,3.0,100.0,3.0,6010,0,2,2024-05-17 00:35:07
35,6977,6978,0.0,6976,0,0.0,0.0,1.0,2.0,100.0,3.0,6010,0,0,2024-05-17 00:36:07
36,6977,6979,0.0,6976,0,0.0,0.0,1.0,2.0,100.0,2.0,6010,0,5,2024-05-17 00:37:07
37,6975,6976,0.0,6975,0,0.0,0.0,1.0,2.0,100.0,2.0,6010,0,3,2024-05-17 00:38:07
38,6976,6977,0.0,6975,0,0.0,0.0,1.0,2.0,100.0,2.0,6012,0,5,2024-05-17 00:39:07
39,6975,6976,10.0,6973,6,9.0,0.0,2.0,10.0,96.0,10.0,6009,2743,3,2024-05-17 00:40:08
40,6976,6978,11.0,6974,8,10.0,0.0,2.0,10.0,96.0,11.0,6011,1780,6,2024-05-17 00:41:08
41,6974,6975,10.0,6972,7,9.0,0.0,2.0,10.0,96.0,10.0,6012,1195,0,2024-05-17 00:42:08
