Unnamed: 0,csvTime,P3_33,P3_18,P3_17,P3_16,status,work_status
0,2024-05-17 00:00:20,0,0,0,0,False,未开机
1,2024-05-17 00:01:20,0,0,0,0,False,未开机
2,2024-05-17 00:02:20,0,0,0,0,False,未开机
3,2024-05-17 00:03:20,0,0,0,0,False,未开机
4,2024-05-17 00:04:20,0,0,0,0,False,未开机
5,2024-05-17 00:05:20,0,0,0,0,False,未开机
6,2024-05-17 00:06:20,0,0,0,0,False,未开机
7,2024-05-17 00:07:20,0,0,0,0,False,未开机
8,2024-05-17 00:08:20,0,0,0,0,False,未开机
9,2024-05-17 00:09:20,0,0,0,0,False,未开机
10,2024-05-17 00:10:20,0,0,0,0,False,未开机
11,2024-05-17 00:11:20,0,0,0,0,False,未开机
12,2024-05-17 00:12:20,0,0,0,0,False,未开机
13,2024-05-17 00:13:20,0,0,0,0,False,未开机
14,2024-05-17 00:14:20,0,0,0,0,False,未开机
15,2024-05-17 00:15:20,0,0,0,0,False,未开机
16,2024-05-17 00:16:20,0,0,0,0,False,未开机
17,2024-05-17 00:17:20,0,0,0,0,False,未开机
18,2024-05-17 00:18:20,0,0,0,0,False,未开机
19,2024-05-17 00:19:20,0,0,0,0,False,未开机
20,2024-05-17 00:20:20,0,0,0,0,False,未开机
21,2024-05-17 00:21:20,0,0,0,0,False,未开机
22,2024-05-17 00:22:20,0,0,0,0,False,未开机
23,2024-05-17 00:23:20,0,0,0,0,False,未开机
24,2024-05-17 00:24:20,0,0,0,0,False,未开机
25,2024-05-17 00:25:20,0,0,0,0,False,未开机
26,2024-05-17 00:26:20,0,0,0,0,False,未开机
27,2024-05-17 00:27:20,0,0,0,0,False,未开机
28,2024-05-17 00:28:20,0,0,0,0,False,未开机
29,2024-05-17 00:29:20,0,0,0,0,False,未开机
30,2024-05-17 00:30:20,0,0,0,0,False,未开机
31,2024-05-17 00:31:20,0,0,0,0,False,未开机
32,2024-05-17 00:32:20,0,0,0,0,False,未开机
33,2024-05-17 00:33:20,0,0,0,0,False,未开机
34,2024-05-17 00:34:20,0,0,0,0,False,未开机
35,2024-05-17 00:35:20,0,0,0,0,False,未开机
36,2024-05-17 00:36:20,0,0,0,0,False,未开机
37,2024-05-17 00:37:20,0,0,0,0,False,未开机
38,2024-05-17 00:38:20,0,0,0,0,False,未开机
39,2024-05-17 00:39:20,0,0,0,0,False,未开机
