,P1_75,csvTime,P1_66
0,0,2024-08-15 00:00:40,0
1,0,2024-08-15 00:01:40,0
2,0,2024-08-15 00:02:40,0
3,0,2024-08-15 00:03:40,0
4,0,2024-08-15 00:04:40,0
5,0,2024-08-15 00:05:40,0
6,0,2024-08-15 00:06:40,0
7,0,2024-08-15 00:07:40,0
8,0,2024-08-15 00:08:40,0
9,0,2024-08-15 00:09:40,0
10,0,2024-08-15 00:10:40,0
11,0,2024-08-15 00:11:40,0
12,0,2024-08-15 00:12:40,0
13,0,2024-08-15 00:13:40,0
14,0,2024-08-15 00:14:40,0
15,0,2024-08-15 00:15:40,0
16,0,2024-08-15 00:16:40,0
17,0,2024-08-15 00:17:40,0
18,0,2024-08-15 00:18:40,0
19,0,2024-08-15 00:19:40,0
20,0,2024-08-15 00:20:40,0
21,0,2024-08-15 00:21:40,0
22,0,2024-08-15 00:22:40,0
23,0,2024-08-15 00:23:40,0
24,0,2024-08-15 00:24:40,0
25,0,2024-08-15 00:25:40,0
26,0,2024-08-15 00:26:40,0
27,0,2024-08-15 00:27:40,0
28,0,2024-08-15 00:28:40,0
29,0,2024-08-15 00:29:40,0
30,0,2024-08-15 00:30:40,0
31,0,2024-08-15 00:31:40,0
32,0,2024-08-15 00:32:40,0
33,0,2024-08-15 00:33:40,0
34,0,2024-08-15 00:34:40,0
35,0,2024-08-15 00:35:40,0
36,0,2024-08-15 00:36:40,0
37,0,2024-08-15 00:37:40,0
38,0,2024-08-15 00:38:40,0
39,0,2024-08-15 00:39:40,0
40,0,2024-08-15 00:40:40,0
41,0,2024-08-15 00:41:40,0
42,0,2024-08-15 00:42:40,0
43,0,2024-08-15 00:43:40,0
44,0,2024-08-15 00:44:40,0
45,0,2024-08-15 00:45:40,0
46,0,2024-08-15 00:46:40,0
47,0,2024-08-15 00:47:40,0
48,0,2024-08-15 00:48:40,0
49,0,2024-08-15 00:49:40,0
50,0,2024-08-15 00:50:40,0
51,0,2024-08-15 00:51:40,0
52,0,2024-08-15 00:52:40,0
53,0,2024-08-15 00:53:40,0
