,P3_22,P3_21,P3_20,P3_19,csvTime
0,21,22,849,858,2024-05-16 16:00:02
1,21,22,765,756,2024-05-16 16:01:02
2,21,22,841,815,2024-05-16 16:02:02
3,21,22,765,735,2024-05-16 16:03:02
4,22,22,527,818,2024-05-16 16:04:02
5,34,32,410,447,2024-05-16 16:05:02
6,39,39,382,369,2024-05-16 16:06:02
7,25,22,482,634,2024-05-16 16:07:02
8,26,27,510,499,2024-05-16 16:08:02
9,37,50,320,268,2024-05-16 16:09:02
10,26,26,622,635,2024-05-16 16:10:02
11,26,27,494,507,2024-05-16 16:11:02
12,30,31,455,459,2024-05-16 16:12:02
13,31,31,460,452,2024-05-16 16:13:02
14,19,22,759,903,2024-05-16 16:14:02
15,21,22,899,903,2024-05-16 16:15:02
16,28,22,949,903,2024-05-16 16:16:02
17,23,21,895,532,2024-05-16 16:17:02
18,17,29,435,46,2024-05-16 16:18:02
19,32,0,387,900,2024-05-16 16:19:02
20,35,36,895,900,2024-05-16 16:20:02
21,1,0,895,898,2024-05-16 16:21:02
22,38,0,895,898,2024-05-16 16:22:02
23,1,0,895,900,2024-05-16 16:23:02
24,1,0,895,898,2024-05-16 16:24:02
25,1,0,896,898,2024-05-16 16:25:02
26,1,0,895,898,2024-05-16 16:26:02
27,22,22,-886,-885,2024-05-16 16:27:02
28,22,23,-886,-885,2024-05-16 16:28:02
29,24,25,-886,-885,2024-05-16 16:29:02
30,29,30,-886,-885,2024-05-16 16:30:02
31,32,32,-22,-277,2024-05-16 16:31:02
32,29,30,-904,-909,2024-05-16 16:32:02
33,28,29,-906,-909,2024-05-16 16:33:02
34,25,47,894,898,2024-05-16 16:34:02
35,26,27,-342,-344,2024-05-16 16:35:02
36,26,26,-340,-344,2024-05-16 16:36:02
37,28,28,-4,1,2024-05-16 16:37:02
38,18,19,237,220,2024-05-16 16:38:02
39,22,23,-344,-344,2024-05-16 16:39:02
40,15,16,1,-35,2024-05-16 16:40:02
41,15,16,-151,-168,2024-05-16 16:41:02
42,13,13,-201,-252,2024-05-16 16:42:02
43,13,14,-344,-344,2024-05-16 16:43:02
44,7,8,-337,-345,2024-05-16 16:44:02
45,7,8,-344,-344,2024-05-16 16:45:02
46,7,8,-344,-344,2024-05-16 16:46:02
47,14,14,-344,-344,2024-05-16 16:47:02
48,1,0,894,898,2024-05-16 16:48:02
49,1,0,895,898,2024-05-16 16:49:02
50,1,0,895,898,2024-05-16 16:50:02
51,1,0,895,898,2024-05-16 16:51:02
52,35,36,-835,-909,2024-05-16 16:52:02
53,40,41,-340,-344,2024-05-16 16:53:02
54,22,22,-90,-68,2024-05-16 16:54:02
55,17,19,4,-16,2024-05-16 16:55:02
56,13,14,-96,-96,2024-05-16 16:56:02
57,13,14,-256,-242,2024-05-16 16:57:02
58,9,10,50,176,2024-05-16 16:58:02
59,10,11,-213,-237,2024-05-16 16:59:02
60,17,18,-340,-344,2024-05-16 17:00:02
61,28,29,-8,-4,2024-05-16 17:01:02
62,23,23,-6,-6,2024-05-16 17:02:02
63,23,23,-6,-2,2024-05-16 17:03:02
64,23,23,-6,-4,2024-05-16 17:04:02
65,25,43,-6,-4,2024-05-16 17:05:02
66,50,50,-6,-2,2024-05-16 17:06:02
67,1,0,-6,-4,2024-05-16 17:07:02
68,10,0,895,-4,2024-05-16 17:08:02
69,39,50,-425,-678,2024-05-16 17:09:02
70,20,21,2,0,2024-05-16 17:10:02
71,20,21,2,-2,2024-05-16 17:11:02
72,20,21,2,0,2024-05-16 17:12:02
73,20,21,3,0,2024-05-16 17:13:02
74,20,21,2,0,2024-05-16 17:14:02
75,20,21,-320,-365,2024-05-16 17:15:02
76,20,21,-6,-4,2024-05-16 17:16:02
77,23,23,-6,-4,2024-05-16 17:17:02
78,23,24,-6,-4,2024-05-16 17:18:02
79,23,23,-6,-4,2024-05-16 17:19:02
80,23,23,-6,-4,2024-05-16 17:20:02
81,23,23,-6,-4,2024-05-16 17:21:02
82,1,0,895,898,2024-05-16 17:22:02
83,1,0,895,898,2024-05-16 17:23:02
84,14,15,-215,-241,2024-05-16 17:24:02
85,12,13,-340,-344,2024-05-16 17:25:02
86,1,0,305,898,2024-05-16 17:26:02
87,1,0,895,898,2024-05-16 17:27:02
88,1,0,895,898,2024-05-16 17:28:02
89,12,13,4,0,2024-05-16 17:29:02
90,33,34,-906,-909,2024-05-16 17:30:02
91,33,34,-295,-261,2024-05-16 17:31:02
92,13,14,64,120,2024-05-16 17:32:02
93,9,10,-75,-81,2024-05-16 17:33:02
94,9,10,-306,-303,2024-05-16 17:34:02
95,21,22,-344,-344,2024-05-16 17:35:02
96,21,22,-344,-344,2024-05-16 17:36:02
97,28,28,-344,-344,2024-05-16 17:37:02
98,28,28,-344,-344,2024-05-16 17:38:02
99,11,11,-123,-125,2024-05-16 17:39:02
100,23,23,895,898,2024-05-16 17:40:02
101,1,0,895,898,2024-05-16 17:41:02
102,1,0,895,898,2024-05-16 17:42:02
103,27,28,2,0,2024-05-16 17:43:02
104,40,32,173,281,2024-05-16 17:44:02
105,39,40,440,-20,2024-05-16 17:45:02
106,33,34,-48,24,2024-05-16 17:46:02
107,1,0,63,0,2024-05-16 17:47:02
108,39,0,2,2,2024-05-16 17:48:02
109,34,28,-868,-4,2024-05-16 17:49:02
110,23,23,-344,-344,2024-05-16 17:50:03
111,18,19,-286,-313,2024-05-16 17:51:02
112,16,16,-340,-342,2024-05-16 17:52:02
113,16,16,-340,-344,2024-05-16 17:53:02
114,16,16,-340,-344,2024-05-16 17:54:02
115,15,16,-340,-344,2024-05-16 17:55:02
116,31,32,-340,-344,2024-05-16 17:56:02
117,16,17,-287,-227,2024-05-16 17:57:02
118,14,14,-71,-48,2024-05-16 17:58:02
119,16,17,-344,-344,2024-05-16 17:59:02
120,18,19,-344,-344,2024-05-16 18:00:02
121,18,19,-312,-272,2024-05-16 18:01:02
122,18,19,-340,-344,2024-05-16 18:02:02
123,18,19,-339,-344,2024-05-16 18:03:02
124,18,19,-340,-344,2024-05-16 18:04:02
125,1,0,-20,-4,2024-05-16 18:05:02
126,1,0,450,898,2024-05-16 18:06:02
127,1,0,896,900,2024-05-16 18:07:02
128,1,0,895,898,2024-05-16 18:08:02
129,1,0,895,898,2024-05-16 18:09:02
130,1,0,895,898,2024-05-16 18:10:02
131,1,0,895,900,2024-05-16 18:11:02
132,37,42,83,0,2024-05-16 18:12:02
133,41,42,379,440,2024-05-16 18:13:02
134,24,25,-225,-260,2024-05-16 18:14:02
135,24,25,-61,-65,2024-05-16 18:15:02
136,1,0,891,898,2024-05-16 18:16:02
137,40,40,896,900,2024-05-16 18:17:02
138,1,0,895,898,2024-05-16 18:18:02
139,1,0,895,900,2024-05-16 18:19:02
140,34,34,-674,-890,2024-05-16 18:20:02
141,32,32,-37,-4,2024-05-16 18:21:02
142,39,39,-905,-909,2024-05-16 18:22:02
143,27,21,-17,-41,2024-05-16 18:23:02
144,17,18,-6,-4,2024-05-16 18:24:02
145,34,34,-6,-4,2024-05-16 18:25:02
146,22,23,-332,-344,2024-05-16 18:26:02
147,22,23,-315,-295,2024-05-16 18:27:02
148,22,23,40,45,2024-05-16 18:28:02
149,22,23,51,74,2024-05-16 18:29:02
150,19,20,-251,-202,2024-05-16 18:30:02
151,29,29,895,898,2024-05-16 18:31:02
152,29,29,-906,-910,2024-05-16 18:32:02
153,32,32,-271,-320,2024-05-16 18:33:02
154,14,15,-340,-344,2024-05-16 18:34:02
155,33,34,-904,-909,2024-05-16 18:35:02
156,1,0,-908,-910,2024-05-16 18:36:02
157,24,25,162,176,2024-05-16 18:37:02
158,31,45,744,898,2024-05-16 18:38:02
159,28,29,-900,-909,2024-05-16 18:39:02
160,35,39,370,0,2024-05-16 18:40:02
161,42,42,315,342,2024-05-16 18:41:02
162,27,28,-340,-344,2024-05-16 18:42:02
163,22,28,-138,-63,2024-05-16 18:43:02
164,26,27,65,45,2024-05-16 18:44:02
165,1,0,-2,-4,2024-05-16 18:45:02
166,1,0,-2,-4,2024-05-16 18:46:02
167,22,28,765,898,2024-05-16 18:47:02
168,51,52,895,898,2024-05-16 18:48:02
169,1,0,896,898,2024-05-16 18:49:02
170,38,36,-475,-6,2024-05-16 18:50:02
171,44,45,305,306,2024-05-16 18:51:02
172,11,0,-906,-910,2024-05-16 18:52:02
173,1,0,895,898,2024-05-16 18:53:02
174,1,0,895,898,2024-05-16 18:54:03
175,1,0,895,898,2024-05-16 18:55:02
176,28,28,2,0,2024-05-16 18:56:02
177,28,28,2,-2,2024-05-16 18:57:02
178,28,28,2,2,2024-05-16 18:58:02
179,28,28,2,2,2024-05-16 18:59:02
180,28,28,2,0,2024-05-16 19:00:02
181,28,29,2,0,2024-05-16 19:01:02
182,28,28,2,-2,2024-05-16 19:02:02
183,28,28,2,0,2024-05-16 19:03:02
184,28,28,2,2,2024-05-16 19:04:02
185,28,28,2,0,2024-05-16 19:05:02
