,1-5-8_v,1-5-7_v,1-5-6_v,1-5-5_v,1-5-9_v,1-5-0_v,1-5-4_v,1-5-3_v,1-5-2_v,1-5-1_v,1-5-12_v,1-5-13_v,1-5-10_v,csvTime,1-5-11_v
0,67,65,13,56,19,6951,55,55,6945,6948,139,0,6001,2024-05-16 16:00:59,0
1,78,66,40,65,50,6951,64,64,6945,6948,140,0,5996,2024-05-16 16:01:59,7
2,107,72,79,89,74,6951,89,88,6945,6948,48,0,5996,2024-05-16 16:03:00,10
3,103,72,74,86,72,6951,86,85,6944,6947,65,0,5984,2024-05-16 16:04:01,2
4,103,71,74,85,72,6947,85,85,6941,6944,57,0,5997,2024-05-16 16:05:02,0
5,80,67,43,67,58,6951,66,66,6946,6949,120,0,5988,2024-05-16 16:06:03,8
6,66,65,13,56,21,6948,55,54,6942,6945,150,0,6012,2024-05-16 16:07:03,2
7,67,66,13,56,19,6950,56,55,6944,6947,157,0,5988,2024-05-16 16:08:04,5
8,66,65,13,56,21,6951,55,54,6945,6948,167,0,6017,2024-05-16 16:09:05,3
9,66,65,13,56,20,6953,55,54,6948,6950,153,0,6018,2024-05-16 16:10:06,0
10,66,65,13,56,20,6953,55,54,6947,6950,143,0,6011,2024-05-16 16:11:06,0
11,67,65,13,56,20,6954,55,54,6947,6951,136,0,6006,2024-05-16 16:12:07,10
12,71,66,26,59,31,6952,58,58,6946,6949,142,0,6006,2024-05-16 16:13:07,9
13,125,75,100,104,79,6951,104,103,6946,6948,40,0,6003,2024-05-16 16:14:08,5
14,120,74,94,99,78,6951,99,99,6945,6948,35,0,6009,2024-05-16 16:15:08,0
15,108,72,81,90,74,6954,90,89,6947,6950,63,0,5994,2024-05-16 16:16:08,5
16,66,65,12,55,20,6943,55,54,6937,6940,132,0,6038,2024-05-16 16:17:09,2
17,0,0,0,0,100,6975,0,0,6968,6972,0,0,6007,2024-05-16 16:18:10,0
18,0,0,0,0,100,6973,0,0,6966,6969,0,0,6013,2024-05-16 16:19:10,2
19,0,0,0,0,100,6977,0,0,6971,6974,0,0,6012,2024-05-16 16:20:11,2
20,0,0,0,0,100,6975,0,0,6971,6973,0,0,5999,2024-05-16 16:21:11,3
21,0,0,0,0,100,6977,0,0,6972,6975,0,0,5998,2024-05-16 16:22:11,8
22,0,0,0,0,100,6974,0,0,6969,6971,0,0,6005,2024-05-16 16:23:12,5
23,0,0,0,0,100,6976,0,0,6970,6973,0,0,6007,2024-05-16 16:24:12,0
24,0,0,0,0,100,6975,0,0,6968,6972,0,0,6007,2024-05-16 16:25:12,8
25,0,0,0,0,100,6978,0,0,6970,6974,0,0,6012,2024-05-16 16:26:12,4
26,0,0,0,0,100,6976,0,0,6971,6974,0,0,6007,2024-05-16 16:27:12,0
27,0,0,0,0,100,6976,0,0,6970,6973,0,0,6008,2024-05-16 16:28:12,0
28,0,0,0,0,100,6976,0,0,6969,6973,0,0,6006,2024-05-16 16:29:12,0
29,0,0,0,0,100,6978,0,0,6972,6975,0,0,6005,2024-05-16 16:30:12,9
30,0,0,0,0,100,6979,0,0,6972,6976,0,0,6006,2024-05-16 16:31:12,10
31,0,0,0,0,100,6976,0,0,6971,6973,0,0,6003,2024-05-16 16:32:13,2
32,0,0,0,0,100,6978,0,0,6971,6975,0,0,6002,2024-05-16 16:33:13,10
33,0,0,0,0,100,6978,0,0,6972,6975,0,0,5969,2024-05-16 16:34:13,8
34,0,0,0,0,100,6975,0,0,6968,6972,0,0,6006,2024-05-16 16:35:14,11
35,0,0,0,0,100,6976,0,0,6970,6973,0,0,6007,2024-05-16 16:36:14,0
36,0,0,0,0,100,6977,0,0,6970,6974,0,0,6005,2024-05-16 16:37:14,0
37,0,0,0,0,100,6978,0,0,6971,6975,0,0,6010,2024-05-16 16:38:15,4
