,13-14-9_v,13-14-8_v,13-14-5_v,13-14-4_v,13-14-10_v,13-14-7_v,13-14-11_v,13-14-6_v,13-14-12_v,13-14-1_v,13-14-0_v,13-14-3_v,13-14-2_v,13-14-13_v,csvTime
0,17,68,57,56,5998,67,2,12,90,695.0,695.1,56,694.9,0,2024-05-16 16:00:04
1,18,68,57,56,6001,67,2,12,100,695.1,695.2,56,695.0,0,2024-05-16 16:01:05
2,18,68,57,56,6005,67,5,12,94,694.9,695.0,56,694.7,0,2024-05-16 16:02:05
3,73,109,90,90,5993,73,3,80,17,694.8,694.9,90,694.7,0,2024-05-16 16:03:06
4,71,102,85,84,5997,72,4,72,12,694.7,694.8,84,694.7,0,2024-05-16 16:04:07
5,70,101,84,83,6001,72,3,71,8,694.9,695.0,83,694.8,0,2024-05-16 16:05:08
6,18,68,57,56,5994,67,3,12,95,694.6,694.7,56,694.5,0,2024-05-16 16:06:09
7,17,68,57,57,5997,67,0,12,95,695.0,695.1,56,694.9,0,2024-05-16 16:07:09
8,48,78,65,65,6000,68,2,38,58,694.1,694.2,65,694.0,0,2024-05-16 16:08:10
9,24,68,57,56,5999,66,3,16,88,695.7,695.8,56,695.6,0,2024-05-16 16:09:11
10,22,68,57,57,6013,67,0,15,96,694.9,695.0,56,694.9,0,2024-05-16 16:10:12
11,17,68,57,56,6009,67,4,12,109,695.4,695.5,56,695.3,0,2024-05-16 16:11:12
12,22,69,57,57,6008,67,0,15,83,695.2,695.2,56,695.1,0,2024-05-16 16:12:13
13,54,84,69,69,6003,69,5,47,32,694.8,694.9,69,694.6,0,2024-05-16 16:13:13
14,78,122,101,101,6008,76,5,96,6,694.8,694.9,101,694.6,0,2024-05-16 16:14:14
15,76,118,97,97,5998,75,2,90,2,694.7,694.8,97,694.6,0,2024-05-16 16:15:14
16,18,68,57,56,5995,67,0,12,83,695.0,695.1,56,694.9,0,2024-05-16 16:16:14
17,17,68,57,57,5988,67,7,12,78,695.1,695.2,56,694.9,0,2024-05-16 16:17:15
18,100,0,0,0,6008,0,2,0,0,697.3,697.4,0,697.1,0,2024-05-16 16:18:16
19,100,0,0,0,6014,0,0,0,0,697.1,697.2,0,697.0,0,2024-05-16 16:19:16
20,100,0,0,0,6013,0,0,0,0,697.4,697.6,0,697.2,0,2024-05-16 16:20:17
21,100,0,0,0,6025,0,4,0,0,697.0,697.1,0,696.9,0,2024-05-16 16:21:17
22,100,0,0,0,6001,0,3,0,0,697.2,697.3,0,697.1,0,2024-05-16 16:22:17
23,100,0,0,0,6007,0,2,0,0,697.2,697.3,0,697.0,0,2024-05-16 16:23:18
24,100,0,0,0,6007,0,6,0,0,697.4,697.6,0,697.2,0,2024-05-16 16:24:18
25,100,0,0,0,6008,0,2,0,0,697.5,697.6,0,697.4,0,2024-05-16 16:25:18
26,100,0,0,0,6011,0,3,0,0,697.5,697.6,0,697.4,0,2024-05-16 16:26:18
27,100,0,0,0,6008,0,0,0,0,697.4,697.5,0,697.2,0,2024-05-16 16:27:18
28,100,0,0,0,6007,0,0,0,0,697.4,697.7,0,697.2,0,2024-05-16 16:28:18
29,100,0,0,0,6003,0,0,0,0,697.4,697.5,0,697.3,0,2024-05-16 16:29:18
30,100,0,0,0,6004,0,2,0,0,697.4,697.6,0,697.3,0,2024-05-16 16:30:18
31,100,0,0,0,6008,0,0,0,0,697.3,697.4,0,697.2,0,2024-05-16 16:31:18
32,100,0,0,0,6009,0,0,0,0,697.2,697.4,0,697.0,0,2024-05-16 16:32:18
33,100,0,0,0,6001,0,0,0,0,697.2,697.3,0,697.1,0,2024-05-16 16:33:19
34,100,0,0,0,6004,0,8,0,0,697.3,697.4,0,697.1,0,2024-05-16 16:34:19
35,100,0,0,0,6006,0,2,0,0,697.2,697.3,0,697.2,0,2024-05-16 16:35:19
36,100,0,0,0,6007,0,6,0,0,697.3,697.4,0,697.2,0,2024-05-16 16:36:20
37,100,0,0,0,6005,0,8,0,0,697.4,697.7,0,697.2,0,2024-05-16 16:37:20
