,13-11-1_v,13-11-2_v,13-11-0_v,13-11-5_v,13-11-6_v,13-11-3_v,13-11-4_v,13-11-9_v,13-11-11_v,13-11-10_v,13-11-7_v,13-11-13_v,csvTime,13-11-8_v,13-11-12_v
0,6944,6938,6950,36,6,36,36,14,13,6000,43,0,2024-05-16 16:00:59,43,51
1,6946,6940,6951,36,6,36,36,14,5,5995,43,0,2024-05-16 16:01:59,43,64
2,6943,6936,6949,36,6,36,36,14,5,5992,43,0,2024-05-16 16:03:00,43,33
3,6944,6937,6950,36,6,36,36,13,8,5981,43,0,2024-05-16 16:04:01,44,37
4,6947,6941,6953,36,6,36,36,14,12,5995,43,0,2024-05-16 16:05:02,43,45
5,6945,6939,6951,36,6,36,36,14,6,5989,43,0,2024-05-16 16:06:03,43,50
6,6943,6937,6950,36,6,36,36,14,15,6004,43,0,2024-05-16 16:07:04,43,41
7,6942,6936,6948,36,6,36,36,14,6,5988,43,0,2024-05-16 16:08:04,43,46
8,6944,6938,6951,36,5,35,35,15,10,6022,42,0,2024-05-16 16:09:05,43,59
9,6947,6941,6952,36,6,35,36,14,5,6018,42,0,2024-05-16 16:10:06,43,34
10,6946,6940,6951,36,6,35,36,14,6,6012,43,0,2024-05-16 16:11:07,43,52
11,6947,6941,6953,36,6,36,36,14,6,6006,43,0,2024-05-16 16:12:07,43,41
12,6943,6938,6949,36,6,35,36,14,8,6005,43,0,2024-05-16 16:13:08,43,59
13,6946,6940,6952,36,6,35,36,14,5,6005,43,0,2024-05-16 16:14:08,43,55
14,6941,6936,6947,62,55,62,62,73,8,6009,50,0,2024-05-16 16:15:08,74,37
15,6948,6942,6954,39,19,39,39,42,10,6000,43,0,2024-05-16 16:16:09,47,14
16,6937,6930,6943,48,36,48,48,62,7,6034,45,0,2024-05-16 16:17:09,58,37
17,6966,6960,6972,46,33,46,46,59,8,6008,45,0,2024-05-16 16:18:10,56,35
18,6968,6961,6975,51,41,52,52,65,15,6012,47,0,2024-05-16 16:19:11,63,39
19,6970,6964,6975,0,0,0,0,100,4,6012,0,0,2024-05-16 16:20:11,0,0
20,6968,6963,6974,0,0,0,0,100,13,5998,0,0,2024-05-16 16:21:11,0,0
21,6970,6964,6976,0,0,0,0,100,12,5996,0,0,2024-05-16 16:22:12,0,0
22,6967,6960,6973,0,0,0,0,100,16,6004,0,0,2024-05-16 16:23:12,0,0
23,6969,6962,6976,0,0,0,0,100,10,6007,0,0,2024-05-16 16:24:12,0,0
24,6969,6963,6975,0,0,0,0,100,12,6007,0,0,2024-05-16 16:25:12,0,0
25,6969,6963,6976,0,0,0,0,100,14,6012,0,0,2024-05-16 16:26:12,0,0
