,csvTime,P1_81
0,2024-05-16 16:00:01,91
1,2024-05-16 16:01:01,91
2,2024-05-16 16:02:01,93
3,2024-05-16 16:03:01,98
4,2024-05-16 16:04:01,80
5,2024-05-16 16:05:01,128
6,2024-05-16 16:06:01,170
7,2024-05-16 16:07:01,75
8,2024-05-16 16:08:02,102
9,2024-05-16 16:09:02,253
10,2024-05-16 16:10:01,89
11,2024-05-16 16:11:02,97
12,2024-05-16 16:12:02,117
13,2024-05-16 16:13:01,113
14,2024-05-16 16:14:01,95
15,2024-05-16 16:15:01,86
16,2024-05-16 16:16:01,81
17,2024-05-16 16:17:01,117
18,2024-05-16 16:18:02,120
19,2024-05-16 16:19:01,138
20,2024-05-16 16:20:01,150
21,2024-05-16 16:21:01,68
22,2024-05-16 16:22:01,176
23,2024-05-16 16:23:01,76
24,2024-05-16 16:24:01,70
25,2024-05-16 16:25:01,69
26,2024-05-16 16:26:02,69
27,2024-05-16 16:27:01,88
28,2024-05-16 16:28:01,86
29,2024-05-16 16:29:01,93
30,2024-05-16 16:30:01,107
31,2024-05-16 16:31:01,130
32,2024-05-16 16:32:01,112
33,2024-05-16 16:33:01,103
34,2024-05-16 16:34:01,127
35,2024-05-16 16:35:02,95
36,2024-05-16 16:36:01,99
37,2024-05-16 16:37:01,99
38,2024-05-16 16:38:01,83
39,2024-05-16 16:39:01,88
40,2024-05-16 16:40:01,85
41,2024-05-16 16:41:01,88
42,2024-05-16 16:42:01,77
43,2024-05-16 16:43:01,74
44,2024-05-16 16:44:01,71
45,2024-05-16 16:45:01,72
46,2024-05-16 16:46:01,71
47,2024-05-16 16:47:01,73
48,2024-05-16 16:48:01,73
49,2024-05-16 16:49:01,68
50,2024-05-16 16:50:01,72
51,2024-05-16 16:51:01,75
52,2024-05-16 16:52:01,183
53,2024-05-16 16:53:01,194
54,2024-05-16 16:54:01,83
55,2024-05-16 16:55:02,90
56,2024-05-16 16:56:01,72
57,2024-05-16 16:57:01,74
58,2024-05-16 16:58:01,68
59,2024-05-16 16:59:01,69
60,2024-05-16 17:00:01,87
61,2024-05-16 17:01:01,103
62,2024-05-16 17:02:01,92
63,2024-05-16 17:03:02,91
64,2024-05-16 17:04:01,93
65,2024-05-16 17:05:01,116
66,2024-05-16 17:06:01,328
67,2024-05-16 17:07:01,69
68,2024-05-16 17:08:01,70
69,2024-05-16 17:09:01,196
70,2024-05-16 17:10:01,86
71,2024-05-16 17:11:01,87
72,2024-05-16 17:12:01,89
73,2024-05-16 17:13:01,85
74,2024-05-16 17:14:01,86
75,2024-05-16 17:15:02,89
76,2024-05-16 17:16:01,89
77,2024-05-16 17:17:01,89
78,2024-05-16 17:18:01,90
79,2024-05-16 17:19:01,93
80,2024-05-16 17:20:01,92
81,2024-05-16 17:21:01,86
82,2024-05-16 17:22:02,67
83,2024-05-16 17:23:01,71
84,2024-05-16 17:24:01,74
85,2024-05-16 17:25:01,71
86,2024-05-16 17:26:01,66
87,2024-05-16 17:27:01,69
88,2024-05-16 17:28:01,69
89,2024-05-16 17:29:01,73
90,2024-05-16 17:30:01,130
91,2024-05-16 17:31:01,135
92,2024-05-16 17:32:01,73
93,2024-05-16 17:33:02,70
94,2024-05-16 17:34:01,72
95,2024-05-16 17:35:01,89
96,2024-05-16 17:36:01,86
97,2024-05-16 17:37:01,105
98,2024-05-16 17:38:01,106
99,2024-05-16 17:39:01,74
100,2024-05-16 17:40:02,86
101,2024-05-16 17:41:01,71
102,2024-05-16 17:42:01,71
103,2024-05-16 17:43:01,106
104,2024-05-16 17:44:02,133
105,2024-05-16 17:45:01,177
106,2024-05-16 17:46:01,141
107,2024-05-16 17:47:01,69
108,2024-05-16 17:48:01,201
109,2024-05-16 17:49:01,147
110,2024-05-16 17:50:01,91
111,2024-05-16 17:51:01,91
112,2024-05-16 17:52:01,85
113,2024-05-16 17:53:02,91
114,2024-05-16 17:54:01,90
115,2024-05-16 17:55:02,87
116,2024-05-16 17:56:01,115
117,2024-05-16 17:57:01,91
118,2024-05-16 17:58:01,73
119,2024-05-16 17:59:01,84
120,2024-05-16 18:00:01,85
121,2024-05-16 18:01:01,87
122,2024-05-16 18:02:01,85
123,2024-05-16 18:03:01,84
124,2024-05-16 18:04:01,89
125,2024-05-16 18:05:01,68
126,2024-05-16 18:06:01,68
127,2024-05-16 18:07:01,70
128,2024-05-16 18:08:01,70
129,2024-05-16 18:09:01,71
130,2024-05-16 18:10:01,73
131,2024-05-16 18:11:01,68
132,2024-05-16 18:12:01,158
133,2024-05-16 18:13:01,206
134,2024-05-16 18:14:01,92
135,2024-05-16 18:15:01,92
136,2024-05-16 18:16:01,70
137,2024-05-16 18:17:01,208
138,2024-05-16 18:18:01,69
139,2024-05-16 18:19:02,68
140,2024-05-16 18:20:01,136
141,2024-05-16 18:21:01,115
142,2024-05-16 18:22:01,180
143,2024-05-16 18:23:01,76
144,2024-05-16 18:24:02,85
145,2024-05-16 18:25:01,140
146,2024-05-16 18:26:01,94
147,2024-05-16 18:27:01,93
148,2024-05-16 18:28:01,89
149,2024-05-16 18:29:01,86
150,2024-05-16 18:30:01,92
151,2024-05-16 18:31:01,100
152,2024-05-16 18:32:01,102
153,2024-05-16 18:33:01,123
154,2024-05-16 18:34:01,68
155,2024-05-16 18:35:01,120
156,2024-05-16 18:36:01,69
157,2024-05-16 18:37:01,97
158,2024-05-16 18:38:01,157
159,2024-05-16 18:39:01,100
160,2024-05-16 18:40:01,184
161,2024-05-16 18:41:02,212
162,2024-05-16 18:42:01,100
163,2024-05-16 18:43:02,114
164,2024-05-16 18:44:01,94
165,2024-05-16 18:45:01,71
