,P1_25,csvTime,P1_24,P1_3,P1_2
0,131,2024-05-16 16:00:01,1799,0,0
1,132,2024-05-16 16:01:01,1801,0,0
2,139,2024-05-16 16:02:02,1801,0,0
3,147,2024-05-16 16:03:02,1801,0,0
4,139,2024-05-16 16:04:02,1798,0,0
5,178,2024-05-16 16:05:01,1798,0,0
6,184,2024-05-16 16:06:01,1802,0,8
7,160,2024-05-16 16:07:01,1796,0,0
8,174,2024-05-16 16:08:01,1801,0,0
9,161,2024-05-16 16:09:01,1796,0,0
10,130,2024-05-16 16:10:01,1803,0,0
11,129,2024-05-16 16:11:01,1806,0,0
12,128,2024-05-16 16:12:01,1802,0,0
13,135,2024-05-16 16:13:01,1804,0,0
14,129,2024-05-16 16:14:01,1802,0,0
15,145,2024-05-16 16:15:01,1804,0,8
16,151,2024-05-16 16:16:01,1800,0,0
17,140,2024-05-16 16:17:01,1800,0,0
18,115,2024-05-16 16:18:01,1802,0,0
19,125,2024-05-16 16:19:01,1803,0,0
20,120,2024-05-16 16:20:02,1804,0,0
21,108,2024-05-16 16:21:01,1805,0,0
22,119,2024-05-16 16:22:01,1800,0,0
23,116,2024-05-16 16:23:01,1802,0,8
24,113,2024-05-16 16:24:02,1803,0,8
25,114,2024-05-16 16:25:01,1801,0,0
26,105,2024-05-16 16:26:01,1804,0,0
27,109,2024-05-16 16:27:01,1800,0,0
28,115,2024-05-16 16:28:01,1800,0,0
29,116,2024-05-16 16:29:01,1803,0,0
30,115,2024-05-16 16:30:01,1804,0,0
31,117,2024-05-16 16:31:02,1802,0,0
32,124,2024-05-16 16:32:02,1800,0,0
33,134,2024-05-16 16:33:01,1801,0,8
34,131,2024-05-16 16:34:01,1805,0,0
35,117,2024-05-16 16:35:01,1801,0,0
36,116,2024-05-16 16:36:01,1802,0,0
37,118,2024-05-16 16:37:01,1800,0,0
38,108,2024-05-16 16:38:02,1803,0,0
39,114,2024-05-16 16:39:01,1802,0,0
40,111,2024-05-16 16:40:01,1804,0,0
41,106,2024-05-16 16:41:01,1804,0,0
42,106,2024-05-16 16:42:01,1802,0,0
43,107,2024-05-16 16:43:01,1804,0,8
44,104,2024-05-16 16:44:02,1803,0,0
45,107,2024-05-16 16:45:01,1802,0,0
46,106,2024-05-16 16:46:01,1803,0,0
47,108,2024-05-16 16:47:01,1804,0,0
48,124,2024-05-16 16:48:01,1808,0,0
49,113,2024-05-16 16:49:01,1805,0,0
50,105,2024-05-16 16:50:01,1804,0,0
51,145,2024-05-16 16:51:01,1802,0,8
52,114,2024-05-16 16:52:01,1801,0,8
53,147,2024-05-16 16:53:01,1799,0,0
54,111,2024-05-16 16:54:01,1805,0,0
55,112,2024-05-16 16:55:01,1803,0,0
56,109,2024-05-16 16:56:01,1800,0,0
57,107,2024-05-16 16:57:01,1800,0,0
58,105,2024-05-16 16:58:01,1803,0,0
59,106,2024-05-16 16:59:02,1803,0,0
60,109,2024-05-16 17:00:01,1807,0,0
61,158,2024-05-16 17:01:01,1797,0,0
62,110,2024-05-16 17:02:02,1803,0,8
63,112,2024-05-16 17:03:01,1804,0,0
64,108,2024-05-16 17:04:01,1803,0,0
65,108,2024-05-16 17:05:01,1806,0,0
66,144,2024-05-16 17:06:01,1798,0,0
67,113,2024-05-16 17:07:01,1801,0,0
68,107,2024-05-16 17:08:01,1804,0,0
69,138,2024-05-16 17:09:01,1798,0,0
70,115,2024-05-16 17:10:01,1802,0,0
71,112,2024-05-16 17:11:01,1804,0,8
72,111,2024-05-16 17:12:01,1803,0,8
73,111,2024-05-16 17:13:02,1802,0,0
74,115,2024-05-16 17:14:01,1802,0,0
75,113,2024-05-16 17:15:01,1804,0,0
76,108,2024-05-16 17:16:01,1806,0,0
77,111,2024-05-16 17:17:02,1803,0,0
78,109,2024-05-16 17:18:01,1802,0,0
79,110,2024-05-16 17:19:01,1802,0,0
80,109,2024-05-16 17:20:01,1803,0,0
81,114,2024-05-16 17:21:01,1802,0,8
82,104,2024-05-16 17:22:01,1807,0,8
83,106,2024-05-16 17:23:01,1803,0,0
84,107,2024-05-16 17:24:01,1802,0,0
85,105,2024-05-16 17:25:01,1800,0,0
86,104,2024-05-16 17:26:01,1803,0,0
87,112,2024-05-16 17:27:01,1802,0,0
88,118,2024-05-16 17:28:01,1800,0,0
89,113,2024-05-16 17:29:01,1802,0,0
90,130,2024-05-16 17:30:02,1801,0,8
91,125,2024-05-16 17:31:01,1799,0,8
92,106,2024-05-16 17:32:01,1802,0,0
93,104,2024-05-16 17:33:01,1803,0,0
94,105,2024-05-16 17:34:01,1802,0,0
95,109,2024-05-16 17:35:01,1802,0,0
96,108,2024-05-16 17:36:01,1802,0,0
97,112,2024-05-16 17:37:01,1801,0,0
98,114,2024-05-16 17:38:02,1802,0,0
99,105,2024-05-16 17:39:02,1802,0,0
100,108,2024-05-16 17:40:01,1803,0,8
101,107,2024-05-16 17:41:01,1804,0,0
102,126,2024-05-16 17:42:01,1800,0,0
103,141,2024-05-16 17:43:01,1800,0,0
104,152,2024-05-16 17:44:01,1798,0,0
105,143,2024-05-16 17:45:01,1795,0,0
106,122,2024-05-16 17:46:01,1802,0,0
107,100,2024-05-16 17:47:01,1802,0,0
108,116,2024-05-16 17:48:02,1802,0,0
109,143,2024-05-16 17:49:01,1806,0,8
110,114,2024-05-16 17:50:01,1802,0,0
