index,Ajia-0_v,Ajia-2_v,Ajia-1_v,Ajia-4_v,Ajia-3_v,Ajia-5_v,csvTime,key_action,running_status,current_status,full_swing,directional_swing,stage
0,error,error,error,error,-1.0,-1.0,2024-05-17 00:00:50,False,未运行,False,False,False,False
1,error,error,error,error,-1.0,-1.0,2024-05-17 00:01:50,False,未运行,False,False,False,False
2,error,error,error,error,-1.0,-1.0,2024-05-17 00:02:50,False,未运行,False,False,False,False
3,error,error,error,error,-1.0,-1.0,2024-05-17 00:03:50,False,未运行,False,False,False,False
4,error,error,error,error,-1.0,-1.0,2024-05-17 00:04:50,False,未运行,False,False,False,False
5,error,error,error,error,-1.0,-1.0,2024-05-17 00:05:50,False,未运行,False,False,False,False
6,error,error,error,error,-1.0,-1.0,2024-05-17 00:06:50,False,未运行,False,False,False,False
7,error,error,error,error,-1.0,-1.0,2024-05-17 00:07:50,False,未运行,False,False,False,False
8,error,error,error,error,-1.0,-1.0,2024-05-17 00:08:50,False,未运行,False,False,False,False
9,error,error,error,error,-1.0,-1.0,2024-05-17 00:09:50,False,未运行,False,False,False,False
10,error,error,error,error,-1.0,-1.0,2024-05-17 00:10:50,False,未运行,False,False,False,False
11,error,error,error,error,-1.0,-1.0,2024-05-17 00:11:50,False,未运行,False,False,False,False
12,error,error,error,error,-1.0,-1.0,2024-05-17 00:12:50,False,未运行,False,False,False,False
13,error,error,error,error,-1.0,-1.0,2024-05-17 00:13:50,False,未运行,False,False,False,False
14,error,error,error,error,-1.0,-1.0,2024-05-17 00:14:50,False,未运行,False,False,False,False
15,error,error,error,error,-1.0,-1.0,2024-05-17 00:15:50,False,未运行,False,False,False,False
16,error,error,error,error,-1.0,-1.0,2024-05-17 00:16:50,False,未运行,False,False,False,False
17,error,error,error,error,-1.0,-1.0,2024-05-17 00:17:50,False,未运行,False,False,False,False
18,error,error,error,error,-1.0,-1.0,2024-05-17 00:18:50,False,未运行,False,False,False,False
19,error,error,error,error,-1.0,-1.0,2024-05-17 00:19:50,False,未运行,False,False,False,False
20,error,error,error,error,-1.0,-1.0,2024-05-17 00:20:50,False,未运行,False,False,False,False
21,error,error,error,error,-1.0,-1.0,2024-05-17 00:21:50,False,未运行,False,False,False,False
22,error,error,error,error,-1.0,-1.0,2024-05-17 00:22:50,False,未运行,False,False,False,False
23,error,error,error,error,-1.0,-1.0,2024-05-17 00:23:50,False,未运行,False,False,False,False
24,error,error,error,error,-1.0,-1.0,2024-05-17 00:24:50,False,未运行,False,False,False,False
25,error,error,error,error,-1.0,-1.0,2024-05-17 00:25:50,False,未运行,False,False,False,False
26,error,error,error,error,-1.0,-1.0,2024-05-17 00:26:50,False,未运行,False,False,False,False
27,error,error,error,error,-1.0,-1.0,2024-05-17 00:27:50,False,未运行,False,False,False,False
28,error,error,error,error,-1.0,-1.0,2024-05-17 00:28:50,False,未运行,False,False,False,False
29,error,error,error,error,-1.0,-1.0,2024-05-17 00:29:50,False,未运行,False,False,False,False
30,error,error,error,error,-1.0,-1.0,2024-05-17 00:30:50,False,未运行,False,False,False,False
31,error,error,error,error,-1.0,-1.0,2024-05-17 00:31:50,False,未运行,False,False,False,False
32,error,error,error,error,-1.0,-1.0,2024-05-17 00:32:50,False,未运行,False,False,False,False
33,error,error,error,error,-1.0,-1.0,2024-05-17 00:33:50,False,未运行,False,False,False,False
34,error,error,error,error,-1.0,-1.0,2024-05-17 00:34:50,False,未运行,False,False,False,False
35,error,error,error,error,-1.0,-1.0,2024-05-17 00:35:50,False,未运行,False,False,False,False
36,error,error,error,error,-1.0,-1.0,2024-05-17 00:36:50,False,未运行,False,False,False,False
37,error,error,error,error,-1.0,-1.0,2024-05-17 00:37:50,False,未运行,False,False,False,False
38,error,error,error,error,-1.0,-1.0,2024-05-17 00:38:50,False,未运行,False,False,False,False
39,error,error,error,error,-1.0,-1.0,2024-05-17 00:39:50,False,未运行,False,False,False,False
40,error,error,error,error,-1.0,-1.0,2024-05-17 00:40:50,False,未运行,False,False,False,False
41,error,error,error,error,-1.0,-1.0,2024-05-17 00:41:50,False,未运行,False,False,False,False
42,error,error,error,error,-1.0,-1.0,2024-05-17 00:42:50,False,未运行,False,False,False,False
43,error,error,error,error,-1.0,-1.0,2024-05-17 00:43:50,False,未运行,False,False,False,False
44,error,error,error,error,-1.0,-1.0,2024-05-17 00:44:50,False,未运行,False,False,False,False
45,error,error,error,error,-1.0,-1.0,2024-05-17 00:45:50,False,未运行,False,False,False,False
46,error,error,error,error,-1.0,-1.0,2024-05-17 00:46:50,False,未运行,False,False,False,False
47,error,error,error,error,-1.0,-1.0,2024-05-17 00:47:50,False,未运行,False,False,False,False
48,error,error,error,error,-1.0,-1.0,2024-05-17 00:48:50,False,未运行,False,False,False,False
49,error,error,error,error,-1.0,-1.0,2024-05-17 00:49:50,False,未运行,False,False,False,False
50,error,error,error,error,-1.0,-1.0,2024-05-17 00:50:50,False,未运行,False,False,False,False
51,error,error,error,error,-1.0,-1.0,2024-05-17 00:51:50,False,未运行,False,False,False,False
52,error,error,error,error,-1.0,-1.0,2024-05-17 00:52:50,False,未运行,False,False,False,False
53,error,error,error,error,-1.0,-1.0,2024-05-17 00:53:50,False,未运行,False,False,False,False
