index,csvTime,P3_33,P3_18,P3_17,P3_16,key_action,running_status
0,2024-09-25 00:00:57,0,-22,-1,0,False,未运行
1,2024-09-25 00:01:57,0,-22,-1,0,False,未运行
2,2024-09-25 00:02:57,0,-22,-1,0,False,未运行
3,2024-09-25 00:03:57,0,-22,-1,0,False,未运行
4,2024-09-25 00:04:57,0,-22,-1,0,False,未运行
5,2024-09-25 00:05:57,0,-22,-1,0,False,未运行
6,2024-09-25 00:06:57,0,-22,-1,0,False,未运行
7,2024-09-25 00:07:57,0,-22,-1,0,False,未运行
8,2024-09-25 00:08:57,0,-22,-1,0,False,未运行
9,2024-09-25 00:09:57,0,-22,-1,0,False,未运行
10,2024-09-25 00:10:57,0,-22,-1,0,False,未运行
11,2024-09-25 00:11:57,0,-22,-1,0,False,未运行
12,2024-09-25 00:12:57,0,-22,-1,0,False,未运行
13,2024-09-25 00:13:57,0,-22,-1,0,False,未运行
14,2024-09-25 00:14:57,0,-22,-1,0,False,未运行
15,2024-09-25 00:15:57,0,-22,-1,0,False,未运行
16,2024-09-25 00:16:57,0,-22,-1,0,False,未运行
17,2024-09-25 00:17:57,0,-22,-1,0,False,未运行
18,2024-09-25 00:18:57,0,-22,-1,0,False,未运行
19,2024-09-25 00:19:57,0,-22,-1,0,False,未运行
20,2024-09-25 00:20:57,0,-22,-1,0,False,未运行
21,2024-09-25 00:21:57,0,-22,-1,0,False,未运行
22,2024-09-25 00:22:57,0,-22,-1,0,False,未运行
23,2024-09-25 00:23:57,0,-22,-1,0,False,未运行
24,2024-09-25 00:24:57,0,-22,-1,0,False,未运行
25,2024-09-25 00:25:57,0,-22,-1,0,False,未运行
26,2024-09-25 00:26:57,0,-22,-1,0,False,未运行
27,2024-09-25 00:27:57,0,-22,-1,0,False,未运行
28,2024-09-25 00:28:57,0,-22,-1,0,False,未运行
29,2024-09-25 00:29:57,0,-22,-1,0,False,未运行
30,2024-09-25 00:30:57,0,-22,-1,0,False,未运行
31,2024-09-25 00:31:57,0,-22,-1,0,False,未运行
32,2024-09-25 00:32:57,0,-22,-1,0,False,未运行
33,2024-09-25 00:33:57,0,-22,-1,0,False,未运行
34,2024-09-25 00:34:57,0,-22,-1,0,False,未运行
35,2024-09-25 00:35:57,0,-22,-1,0,False,未运行
36,2024-09-25 00:36:57,0,-22,-1,0,False,未运行
37,2024-09-25 00:37:57,0,-22,-1,0,False,未运行
38,2024-09-25 00:38:57,0,-22,-1,0,False,未运行
39,2024-09-25 00:39:57,0,-22,-1,0,False,未运行
40,2024-09-25 00:40:57,0,-22,-1,0,False,未运行
41,2024-09-25 00:41:57,0,-22,-1,0,False,未运行
42,2024-09-25 00:42:57,0,-22,-1,0,False,未运行
43,2024-09-25 00:43:57,0,-22,-1,0,False,未运行
44,2024-09-25 00:44:57,0,-22,-1,0,False,未运行
