Unnamed: 0,csvTime,P3_33,P3_18,P3_17,P3_16,status
0,2024-05-16 16:00:20,563,79,16,-2,False
1,2024-05-16 16:01:20,566,90,19,21,False
2,2024-05-16 16:02:20,565,84,24,20,False
3,2024-05-16 16:03:20,483,86,-17,-11,False
4,2024-05-16 16:04:20,538,79,13,-5,False
5,2024-05-16 16:05:20,543,84,7,25,False
6,2024-05-16 16:06:20,537,109,-12,-24,False
7,2024-05-16 16:07:20,566,138,-39,-41,False
8,2024-05-16 16:08:20,595,112,-41,-21,False
9,2024-05-16 16:09:20,534,80,9,3,False
10,2024-05-16 16:10:20,553,84,25,26,False
11,2024-05-16 16:11:20,556,81,17,20,False
12,2024-05-16 16:12:20,555,82,0,0,False
13,2024-05-16 16:13:20,523,107,25,32,False
14,2024-05-16 16:14:20,536,79,0,0,False
15,2024-05-16 16:15:20,589,168,-43,-42,False
16,2024-05-16 16:16:20,589,132,-37,-37,False
17,2024-05-16 16:17:20,543,109,28,28,False
18,2024-05-16 16:18:20,0,0,0,0,OFF_DP
19,2024-05-16 16:19:20,0,0,0,0,False
20,2024-05-16 16:20:20,0,0,0,0,False
21,2024-05-16 16:21:20,0,0,0,0,False
22,2024-05-16 16:22:20,0,0,0,0,False
23,2024-05-16 16:23:20,0,0,0,0,False
24,2024-05-16 16:24:20,0,0,0,0,False
25,2024-05-16 16:25:20,0,0,0,0,False
26,2024-05-16 16:26:20,0,0,0,0,False
27,2024-05-16 16:27:20,0,0,0,0,False
28,2024-05-16 16:28:20,0,0,0,0,False
29,2024-05-16 16:29:20,0,0,0,0,False
30,2024-05-16 16:30:20,0,0,0,0,False
31,2024-05-16 16:31:20,0,0,0,0,False
32,2024-05-16 16:32:20,0,0,0,0,False
33,2024-05-16 16:33:20,0,0,0,0,False
34,2024-05-16 16:34:20,0,0,0,0,False
35,2024-05-16 16:35:20,0,0,0,0,False
36,2024-05-16 16:36:20,0,0,0,0,False
37,2024-05-16 16:37:20,0,0,0,0,False
38,2024-05-16 16:38:20,0,0,0,0,False
39,2024-05-16 16:39:20,0,0,0,0,False
40,2024-05-16 16:40:20,0,0,0,0,False
41,2024-05-16 16:41:20,0,0,0,0,False
42,2024-05-16 16:42:20,0,0,0,0,False
43,2024-05-16 16:43:20,0,0,0,0,False
44,2024-05-16 16:44:20,0,0,0,0,False
45,2024-05-16 16:45:20,0,0,0,0,False
46,2024-05-16 16:46:20,0,0,0,0,False
47,2024-05-16 16:47:20,0,0,0,0,False
48,2024-05-16 16:48:20,0,0,0,0,False
