Unnamed: 0,Ajia-0_v,Ajia-2_v,Ajia-1_v,Ajia-4_v,Ajia-3_v,Ajia-5_v,csvTime,status
0,35.2907,694.266,35.2013,694.228,55.1627,56.285,2024-05-16 16:00:50,False
1,35.2907,693.657,35.2013,693.77,64.0603,64.3301,2024-05-16 16:01:50,False
2,30.0576,692.904,29.7445,692.893,89.0146,88.1905,2024-05-16 16:02:50,False
3,10.3996,693.186,9.97466,693.324,88.2046,87.4312,2024-05-16 16:03:50,False
4,-10.3319,692.752,-10.7792,692.849,85.0707,84.4689,2024-05-16 16:04:50,False
5,-36.0058,692.949,-36.14,693.193,81.4086,80.7717,2024-05-16 16:05:50,False
6,-43.2517,692.723,-43.6766,692.902,89.4349,88.914,2024-05-16 16:06:50,False
7,-43.2294,694.437,-43.6543,694.404,55.2008,56.2523,2024-05-16 16:07:50,False
8,-43.207,693.6,-43.6543,693.744,54.714,55.8283,2024-05-16 16:08:50,False
9,-43.2294,693.971,-43.6766,694.132,54.8505,56.691,2024-05-16 16:09:50,False
10,-43.207,694.089,-43.6766,694.155,54.8285,56.0361,2024-05-16 16:10:50,False
11,-43.207,694.091,-43.6543,694.245,54.8816,56.0184,2024-05-16 16:11:50,False
12,-43.2294,694.201,-43.6766,694.331,54.892,56.1682,2024-05-16 16:12:50,False
13,-21.4244,692.233,-21.335,692.824,105.955,104.778,2024-05-16 16:13:50,False
14,7.40279,692.469,7.40279,692.643,100.288,99.0513,2024-05-16 16:14:50,False
15,33.9713,692.456,34.3514,692.652,96.5015,95.5073,2024-05-16 16:15:50,False
16,35.0895,693.819,35.3802,693.945,75.0788,71.9013,2024-05-16 16:16:50,False
17,35.0671,695.657,35.3802,695.658,0.0,0.0,2024-05-16 16:17:50,False
18,35.0895,696.817,35.3802,696.761,0.0,0.0,2024-05-16 16:18:50,False
19,35.0895,697.198,35.3802,697.126,0.0,0.0,2024-05-16 16:19:50,False
20,35.0895,697.222,35.3802,697.095,0.0,0.0,2024-05-16 16:20:50,False
21,35.0895,697.143,35.3802,696.99,0.0,0.0,2024-05-16 16:21:50,False
22,35.0895,697.119,35.3802,697.103,0.0,0.0,2024-05-16 16:22:50,False
23,35.0895,697.12,35.3802,697.073,0.0,0.0,2024-05-16 16:23:50,False
24,35.0895,697.197,35.3802,697.161,0.0,0.0,2024-05-16 16:24:50,False
25,35.0895,697.259,35.3802,697.204,0.0,0.0,2024-05-16 16:25:50,False
26,35.0895,697.201,35.3802,697.135,0.0,0.0,2024-05-16 16:26:50,False
27,35.0895,697.233,35.3802,697.069,0.0,0.0,2024-05-16 16:27:50,False
28,35.0895,697.159,35.3802,697.009,0.0,0.0,2024-05-16 16:28:50,False
29,35.0895,697.204,35.3802,697.113,0.0,0.0,2024-05-16 16:29:50,False
30,35.0895,697.166,35.3802,697.217,0.0,0.0,2024-05-16 16:30:50,False
31,35.0895,697.042,35.3802,697.117,0.0,0.0,2024-05-16 16:31:50,False
32,35.0895,697.029,35.3802,697.021,0.0,0.0,2024-05-16 16:32:50,False
33,35.0895,697.11,35.3802,696.892,0.0,0.0,2024-05-16 16:33:50,False
34,35.0895,697.107,35.3802,697.08,0.0,0.0,2024-05-16 16:34:50,False
35,35.0895,696.937,35.3802,697.17,0.0,0.0,2024-05-16 16:35:50,False
36,35.0895,697.203,35.3802,697.075,0.0,0.0,2024-05-16 16:36:50,False
37,35.0895,697.301,35.3802,697.153,0.0,0.0,2024-05-16 16:37:50,False
38,35.1118,697.273,35.3802,697.055,0.0,0.0,2024-05-16 16:38:50,False
39,35.1118,697.16,35.3802,697.23,0.0,0.0,2024-05-16 16:39:50,False
40,35.1118,697.112,35.3802,697.078,0.0,0.0,2024-05-16 16:40:50,False
41,35.1118,697.168,35.3802,697.063,0.0,0.0,2024-05-16 16:41:50,False
42,35.1118,697.215,35.3802,697.094,0.0,0.0,2024-05-16 16:42:50,False
43,35.1118,697.177,35.3802,697.147,0.0,0.0,2024-05-16 16:43:50,False
44,35.1118,697.21,35.3802,696.962,0.0,0.0,2024-05-16 16:44:50,False
45,35.1118,697.078,35.3802,696.963,0.0,0.0,2024-05-16 16:45:50,False
46,35.1118,697.216,35.3802,697.116,0.0,0.0,2024-05-16 16:46:50,False
47,35.1118,697.122,35.3802,696.932,0.0,0.0,2024-05-16 16:47:50,False
48,35.1118,697.129,35.3802,697.085,0.0,0.0,2024-05-16 16:48:50,False
49,35.1118,697.254,35.3802,697.077,0.0,0.0,2024-05-16 16:49:50,False
50,35.1118,697.388,35.3802,697.432,0.0,0.0,2024-05-16 16:50:50,False
51,35.1118,697.145,35.3802,697.099,0.0,0.0,2024-05-16 16:51:50,False
52,35.1118,697.151,35.3802,697.099,0.0,0.0,2024-05-16 16:52:50,False
53,35.1118,697.207,35.3802,697.073,0.0,0.0,2024-05-16 16:53:50,False
54,35.1118,697.195,35.3802,697.211,0.0,0.0,2024-05-16 16:54:50,False
55,35.1118,697.168,35.3802,697.14,0.0,0.0,2024-05-16 16:55:50,False
56,35.1118,697.252,35.3802,697.201,0.0,0.0,2024-05-16 16:56:50,False
57,35.1118,697.33,35.3802,697.226,0.0,0.0,2024-05-16 16:57:50,False
58,35.1118,696.911,35.3802,697.097,0.0,0.0,2024-05-16 16:58:50,False
59,35.1118,697.364,35.3802,697.214,0.0,0.0,2024-05-16 17:00:50,False
60,35.1118,697.373,35.3802,697.244,0.0,0.0,2024-05-16 17:01:50,False
61,35.1118,697.321,35.3802,697.285,0.0,0.0,2024-05-16 17:02:50,False
62,35.1118,697.217,35.3802,697.287,0.0,0.0,2024-05-16 17:03:50,False
63,35.1118,697.239,35.3802,697.315,0.0,0.0,2024-05-16 17:04:50,False
64,35.1118,697.075,35.3802,697.205,0.0,0.0,2024-05-16 17:05:50,False
65,35.1118,697.213,35.3802,697.259,0.0,0.0,2024-05-16 17:06:50,False
66,35.1118,697.105,35.3802,697.16,0.0,0.0,2024-05-16 17:07:50,False
67,35.1118,697.079,35.3802,697.214,0.0,0.0,2024-05-16 17:08:50,False
68,35.1118,697.642,35.4026,697.041,0.0,0.0,2024-05-16 17:09:50,False
69,35.1118,697.235,35.3802,697.283,0.0,0.0,2024-05-16 17:10:50,False
70,35.1118,697.183,35.3802,697.176,0.0,0.0,2024-05-16 17:11:50,False
71,35.1118,697.218,35.3802,697.307,0.0,0.0,2024-05-16 17:12:50,False
72,35.1118,697.228,35.3802,697.228,0.0,0.0,2024-05-16 17:13:50,False
73,35.1118,697.413,35.3802,697.397,0.0,0.0,2024-05-16 17:14:50,False
74,35.1118,697.249,35.3802,697.293,0.0,0.0,2024-05-16 17:15:50,False
75,35.1118,697.128,35.4026,697.259,0.0,0.0,2024-05-16 17:16:50,False
76,35.1118,697.178,35.3802,697.217,0.0,0.0,2024-05-16 17:17:50,False
77,35.1118,697.205,35.3802,697.361,0.0,0.0,2024-05-16 17:18:50,False
78,35.1118,697.265,35.4026,697.23,0.0,0.0,2024-05-16 17:19:50,False
79,35.1118,697.212,35.3802,697.362,0.0,0.0,2024-05-16 17:20:50,False
80,35.1118,697.15,35.3802,697.196,0.0,0.0,2024-05-16 17:21:50,False
81,35.1118,697.195,35.4026,697.116,0.0,0.0,2024-05-16 17:22:50,False
82,35.1118,697.167,35.4026,697.185,0.0,0.0,2024-05-16 17:23:50,False
83,35.1118,697.086,35.3802,697.188,0.0,0.0,2024-05-16 17:24:50,False
84,35.1118,697.109,35.3802,697.078,0.0,0.0,2024-05-16 17:25:50,False
85,35.1118,697.086,35.3802,697.117,0.0,0.0,2024-05-16 17:26:50,False
86,35.1118,697.335,35.4026,697.12,0.0,0.0,2024-05-16 17:27:50,False
87,35.1118,697.1,35.3802,696.928,0.0,0.0,2024-05-16 17:28:50,False
88,35.1118,697.055,35.4026,697.045,0.0,0.0,2024-05-16 17:29:50,False
89,35.1118,697.077,35.4026,697.063,0.0,0.0,2024-05-16 17:30:50,False
90,35.1118,697.146,35.4026,697.115,0.0,0.0,2024-05-16 17:31:50,False
91,35.1118,696.967,35.4026,697.021,0.0,0.0,2024-05-16 17:32:50,False
92,35.1118,697.031,35.3802,697.1,0.0,0.0,2024-05-16 17:33:50,False
93,35.1118,697,35.4026,697.046,0.0,0.0,2024-05-16 17:34:50,False
94,35.1118,697.163,35.4026,697.182,0.0,0.0,2024-05-16 17:35:50,False
95,35.1118,697.221,35.3802,697.341,0.0,0.0,2024-05-16 17:36:50,False
96,35.1118,697.188,35.3802,697.259,0.0,0.0,2024-05-16 17:37:50,False
97,35.1118,697.1,35.3802,697.212,0.0,0.0,2024-05-16 17:38:50,False
98,35.1118,697.024,35.3802,697.234,0.0,0.0,2024-05-16 17:39:50,False
99,35.1118,697.138,35.3802,697.341,0.0,0.0,2024-05-16 17:40:50,False
100,35.1118,696.953,35.3802,696.943,0.0,0.0,2024-05-16 17:41:50,False
101,35.1118,696.978,35.3802,696.875,0.0,0.0,2024-05-16 17:42:50,False
102,35.1118,697.12,35.3802,697.139,0.0,0.0,2024-05-16 17:43:50,False
103,35.1118,696.693,35.3802,696.608,0.0,0.0,2024-05-16 17:44:50,False
