,1-15-10_v,1-15-12_v,1-15-11_v,1-15-13_v,1-15-9_v,1-15-8_v,1-15-7_v,1-15-6_v,1-15-5_v,1-15-4_v,1-15-3_v,1-15-2_v,1-15-1_v,1-15-0_v,csvTime
0,5999,0,7,0,100,0,0,0,0,0,0,6968,6965,6961,2024-09-25 00:00:58
1,5999,0,3,0,100,0,0,0,0,0,0,6968,6964,6961,2024-09-25 00:01:57
2,5998,0,5,0,100,0,0,0,0,0,0,6968,6965,6962,2024-09-25 00:02:57
3,5998,0,0,0,100,0,0,0,0,0,0,6967,6963,6960,2024-09-25 00:03:59
4,5998,0,2,0,100,0,0,0,0,0,0,6968,6965,6962,2024-09-25 00:04:59
5,5998,0,3,0,100,0,0,0,0,0,0,6968,6965,6962,2024-09-25 00:05:58
6,5997,0,8,0,100,0,0,0,0,0,0,6968,6964,6961,2024-09-25 00:06:58
7,6001,0,5,0,100,0,0,0,0,0,0,6966,6964,6962,2024-09-25 00:08:00
8,6000,0,2,0,100,0,0,0,0,0,0,6966,6964,6962,2024-09-25 00:08:59
9,5999,0,2,0,100,0,0,0,0,0,0,6966,6964,6962,2024-09-25 00:09:59
10,5998,0,8,0,100,0,0,0,0,0,0,6966,6964,6962,2024-09-25 00:10:59
11,5999,0,5,0,100,0,0,0,0,0,0,6967,6965,6963,2024-09-25 00:11:59
12,6000,0,0,0,100,0,0,0,0,0,0,6966,6964,6962,2024-09-25 00:13:00
13,6000,0,0,0,100,0,0,0,0,0,0,6967,6965,6963,2024-09-25 00:14:00
14,6000,0,0,0,100,0,0,0,0,0,0,6967,6965,6963,2024-09-25 00:15:02
15,6002,0,4,0,100,0,0,0,0,0,0,6965,6964,6962,2024-09-25 00:16:02
16,6001,0,6,0,100,0,0,0,0,0,0,6966,6964,6962,2024-09-25 00:17:02
17,6001,0,2,0,100,0,0,0,0,0,0,6966,6964,6962,2024-09-25 00:18:02
18,6002,0,2,0,100,0,0,0,0,0,0,6967,6965,6963,2024-09-25 00:19:02
19,6001,0,8,0,100,0,0,0,0,0,0,6965,6963,6960,2024-09-25 00:20:01
20,5999,0,9,0,100,0,0,0,0,0,0,6965,6963,6960,2024-09-25 00:21:01
21,6000,0,6,0,100,0,0,0,0,0,0,6967,6964,6962,2024-09-25 00:22:01
22,5999,0,5,0,100,0,0,0,0,0,0,6967,6964,6962,2024-09-25 00:23:01
23,5999,0,6,0,100,0,0,0,0,0,0,6966,6963,6960,2024-09-25 00:24:03
24,5998,0,3,0,100,0,0,0,0,0,0,6967,6964,6960,2024-09-25 00:25:02
25,5999,0,9,0,100,0,0,0,0,0,0,6967,6964,6960,2024-09-25 00:26:02
26,6000,0,3,0,100,0,0,0,0,0,0,6966,6962,6959,2024-09-25 00:27:02
27,6002,0,0,0,100,0,0,0,0,0,0,6968,6964,6960,2024-09-25 00:28:02
28,6002,0,9,0,100,0,0,0,0,0,0,6969,6965,6961,2024-09-25 00:29:02
29,6002,0,0,0,100,0,0,0,0,0,0,6969,6965,6962,2024-09-25 00:30:02
30,6001,0,0,0,100,0,0,0,0,0,0,6968,6965,6961,2024-09-25 00:31:04
31,6000,0,0,0,100,0,0,0,0,0,0,6969,6965,6962,2024-09-25 00:32:04
32,6002,0,0,0,100,0,0,0,0,0,0,6967,6964,6960,2024-09-25 00:33:04
33,6001,0,2,0,100,0,0,0,0,0,0,6970,6966,6963,2024-09-25 00:34:04
34,6001,0,0,0,100,0,0,0,0,0,0,6969,6966,6962,2024-09-25 00:35:04
35,6001,0,0,0,100,0,0,0,0,0,0,6968,6964,6960,2024-09-25 00:36:04
36,6002,0,5,0,100,0,0,0,0,0,0,6968,6964,6960,2024-09-25 00:37:03
37,6001,0,3,0,100,0,0,0,0,0,0,6968,6964,6960,2024-09-25 00:38:03
38,5999,0,5,0,100,0,0,0,0,0,0,6966,6962,6959,2024-09-25 00:39:03
39,5999,0,11,0,100,0,0,0,0,0,0,6966,6962,6958,2024-09-25 00:40:03
40,5999,0,0,0,100,0,0,0,0,0,0,6966,6963,6959,2024-09-25 00:41:04
41,5999,0,6,0,100,0,0,0,0,0,0,6966,6962,6959,2024-09-25 00:42:04
42,5998,0,0,0,100,0,0,0,0,0,0,6966,6963,6959,2024-09-25 00:43:03
43,5998,0,3,0,100,0,0,0,0,0,0,6965,6962,6958,2024-09-25 00:44:05
